name,category,score,tier,languages,size_mb
deer-flow,Uncategorized,116,A,"Python",5.3
litellm,LLM APIs & Backends,116,A,"Python;JS/TS",242.3
nautilus_trader,Trading Bots & Crypto,116,A,"Python;Rust",103.1
open-webui,LLM APIs & Backends,116,A,"Python;JS/TS",96.7
bolt.diy,AI Applications,113,A,"JS/TS",4.4
ccxt,Uncategorized,113,A,"Python;JS/TS;HTML;PHP",229.2
eliza,AI Frameworks & Agents,113,A,"JS/TS",27.9
linkwarden,Knowledge Management,113,A,"JS/TS",10.4
openrouter-ai-ecosystem,LLM APIs & Backends,113,A,"Python;HTML",65.6
profile-detective-seeker,Automation & Workflow,113,A,"JS/TS;HTML",1.6
gemini-cli,Developer Tools,111,A,"JS/TS",5.2
local-operator,Local & Self-Hosted AI,111,A,"Python",80.3
Flowise,Uncategorized,108,A,"JS/TS",37.8
Roo-Code,Uncategorized,108,A,"JS/TS",8.5
accomplish,Uncategorized,108,A,"JS/TS",14.3
aider,Uncategorized,108,A,"Python",74.3
browser-use,Uncategorized,108,A,"Python",4.1
cherry-studio,Uncategorized,108,A,"JS/TS",28.6
claude-code-complete-backup,Developer Tools,108,A,"Python;HTML",63.6
claude-task-master,Uncategorized,108,A,"JS/TS",8.0
crawlee,Web Scraping & Crawling,108,A,"JS/TS",100.0
crypto-ai-nexus-dashboard,Trading Bots & Crypto,108,A,"JS/TS;HTML",1.6
deepwiki-open,Knowledge Management,108,A,"Python;JS/TS",4.1
hermes-agent,Uncategorized,108,A,"Python;JS/TS",23.8
inferno-project-pulse-forge,AI App Builders & No-Code,108,A,"JS/TS;HTML",1.0
n8n,Automation & Workflow,108,A,"JS/TS",62.1
pipedream,Automation & Workflow,108,A,"JS/TS",336.4
prompts.chat,Prompt Engineering,108,A,"JS/TS",127.8
Qwen,Uncategorized,103,A,"Python",18.5
ai-deals-oasis,Uncategorized,103,A,"JS/TS;HTML",1.2
crypto-beacon-fusion-hub,Trading Bots & Crypto,103,A,"JS/TS;HTML",4.1
crypto-beacon-trader-hub-11,Trading Bots & Crypto,103,A,"JS/TS;HTML",3.3
